          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   30.09.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |2245000048|Копче            |      3.00|   0.02|   0.25|   0.10|        0.06|        0.75|        0.30|
 |2249000023|Копче за         |      3.00|   0.28|   0.65|   0.40|        0.84|        1.95|        1.20|
 |          |паровентил       |          |       |       |       |            |            |            |
 |2932000039|Копче пара       |      6.00|   0.09|   0.30|   0.15|        0.54|        1.80|        0.90|
 |2932000012|Копче            |     10.00|   0.10|   0.30|   0.15|        1.00|        3.00|        1.50|
 |          |терморегулатор   |          |       |       |       |            |            |            |
 |2248000044|Крем шайба       |      6.00|   8.13|  12.50|  11.75|       48.78|       75.00|       70.50|
 |2309000008|Куплунг U31.3    |      3.00|   0.40|   0.60|   0.60|        1.20|        1.80|        1.80|
 |9673205003|МТЗ 152 С        |      5.00|   0.26|   0.90|   0.50|        1.31|        4.50|        2.50|
 |2932000009|МТЗ 184 С        |      2.00|   0.01|   1.20|   0.10|        0.02|        2.40|        0.20|
 |2404009999|Междинно колело  |      1.00|   0.20|   0.50|   0.30|        0.20|        0.50|        0.30|
 |6120240361|Мотор            |      1.00|   0.80|   9.90|   2.50|        0.80|        9.90|        2.50|
 |2248000034|Мотор            |      1.00|   4.95|  12.90|   7.50|        4.95|       12.90|        7.50|
 |6120301111|Нагревател кпл.  |      1.00|  44.69|  66.90|  48.00|       44.69|       66.90|       48.00|
 |2245000016|Нипел            |      2.00|   0.15|   0.55|   0.25|        0.30|        1.10|        0.50|
 |9612932005|Нипел            |      7.00|   0.17|   0.50|   0.25|        1.19|        3.50|        1.75|
 |2404000005|Нож              |      2.00|   0.10|  19.80|   0.00|        0.20|       39.60|        0.00|
 |2217000008|Нож              |     16.00|   0.38|   0.85|   0.50|        6.08|       13.60|        8.00|
 |2491000036|Нож щ5           |      2.00|   3.81|   6.45|   4.50|        7.62|       12.90|        9.00|
 |2248000042|Нож горен        |      3.00|   8.95|  14.90|   9.50|       26.86|       44.70|       28.50|
 |2307000001|Пасирка          |      2.00|   0.52|   2.30|   1.50|        1.04|        4.60|        3.00|
 |2307000001|Пасирка          |      8.00|   0.73|   2.30|   1.50|        5.84|       18.40|       12.00|
 |2373000001|Пасирка          |      5.00|   0.95|   7.98|   1.50|        4.75|       39.90|        7.50|
 |2249000168|Платка           |      1.00|  17.34|  21.80|   0.00|       17.34|       21.80|        0.00|
 |6120301391|Помпа            |      2.00|   0.68|  37.90|   0.00|        1.35|       75.80|        0.00|
