          С П Р А В К А    Н А Л И Ч Н О С Т И    К Ъ М    Д А Т А   01.01.2014

 
 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : ЕЛ. МАТЕРИАЛИ                 
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |U 40.0    |Уред за рязане   |      1.00| 156.17| 208.90| 174.00|      156.17|      208.90|      174.00|
 |U 40.0    |Уред за рязане   |      1.00| 173.17| 208.90| 174.00|      173.17|      208.90|      174.00|
 |U 13.4    |Уред за          |      9.00|  53.24|  64.90|  54.00|      479.13|      584.10|      486.00|
 |          |хамбургери       |          |       |       |       |            |            |            |
 |U 13.4    |Уред за          |      3.00|  53.24|  64.90|  54.00|      159.72|      194.70|      162.00|
 |          |хамбургери       |          |       |       |       |            |            |            |
 |U 47.1    |Шейкър           |     19.00|  39.45|  59.90|  49.50|      749.58|     1138.10|      940.50|
 |U 87.0    |Ютия             |      2.00|  16.90|  25.90|  21.00|       33.81|       51.80|       42.00|
 |U 89.0    |Ютия             |      4.00| 117.80| 141.90| 118.25|      471.20|      567.60|      473.00|
 |U 88.9    |Ютия             |      3.00| 247.90| 299.90| 249.90|      743.70|      899.70|      749.70|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: УРЕДИ ROTEL        |     86.00|       |       |       |     6231.93|     7972.40|     6627.30|

 Група стоки  : УСЛУГИ                        
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Катал. Nо | Артикул         | Колич-во |Ц прид.|П.ц+ДДС|П.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |1         |труд             |     -2.00|   0.00|   0.00|   0.00|        0.00|        0.00|        0.00|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: УСЛУГИ             |     -2.00|       |       |       |        0.00|        0.00|        0.00|
 +----------+-----------------+----------+-------+-------+-------+------------+------------+------------+
 |Общо за: СКЛАД СЕЛЕКТ       |   5386.00|       |       |       |    19943.26|    30622.38|    22437.75|
