                        С П Р А В К А    Т Е К У Щ И    Н А Л И Ч Н О С Т И                         
                                       Към дата : 20.03.2013        

 Обект        : СКЛАД СЕЛЕКТ                                      
 Група стоки  : РЧ УРЕДИ ROTEL                
 +----------+-----------------------------------+------------+----------+----------+----------+------------+------------+------------+
 |Катал. Nо | Артикул                           | Количество |Цена прид.|Прод.ц+ДДС|Прод.ц-ДДС| Ст-ст прид.| Прод.ст+ДДС| Прод.ст-ДДС|
 |2404000020|Зъбно колело                       |        9.00|      0.19|      1.60|      2.60|        1.68|       14.40|       23.40|
 |2404000021|Двигател U40.4                     |        2.00|      6.74|      7.50|     10.90|       13.47|       15.00|       21.80|
 |2404009999|Междинно колело                    |        1.00|      0.20|      0.30|      0.50|        0.20|        0.30|        0.50|
 |2408000003|Двоен дисков нож                   |        2.00|      0.10|      0.00|     24.90|        0.20|        0.00|       49.80|
 |2408000006|Задвижващо колело                  |        1.00|      0.10|      0.00|      3.98|        0.10|        0.00|        3.98|
 |2435000002|Ел. платка / бутон /               |        1.00|      1.00|      2.50|      2.50|        1.00|        2.50|        2.50|
 |2435000002|Ел. платка / бутон /               |        2.00|      0.01|      2.50|      2.50|        0.02|        5.00|        5.00|
 |2435000005|Капак купа                         |        1.00|      2.60|      0.00|      5.30|        2.60|        0.00|        5.30|
 |2435000009|Нож                                |        1.00|     10.17|     11.50|     15.90|       10.17|       11.50|       15.90|
 |2435000011|Универсален нож                    |        1.00|      6.45|      0.00|     16.26|        6.45|        0.00|       16.26|
 |2435000016|Ел. платка                         |        1.00|      1.50|      2.50|      3.60|        1.50|        2.50|        3.60|
 |2435000019|Зъбно колело                       |        1.00|      2.82|      3.20|      4.70|        2.82|        3.20|        4.70|
 |2471000005|Уплътнител силиконов               |        1.00|      0.45|      0.00|      1.90|        0.45|        0.00|        1.90|
 |2473000003|Кана U 47.3                        |        2.00|      8.47|      0.00|      0.00|       16.94|        0.00|        0.00|
 |2474000059|Кана U 47.4                        |        3.00|      7.13|      0.00|      0.00|       21.40|        0.00|        0.00|
 |2491000012|Зъбно колело щ3                    |        1.00|      0.14|      3.20|      4.85|        0.14|        3.20|        4.85|
 |2491000035|Пружина                            |        4.00|      0.83|      1.00|      1.50|        3.34|        4.00|        6.00|
 |2491000036|Нож щ5                             |        2.00|      3.81|      4.50|      6.45|        7.62|        9.00|       12.90|
 |2622000004|Ел. платка                         |        7.00|      0.52|      1.00|      1.60|        3.64|        7.00|       11.20|
 |2622000009|Шлаух засмукващ                    |        2.00|      8.04|      9.00|     12.90|       16.09|       18.00|       25.80|
 |2624000000|Филтър книжен за прахосмукачка     |        5.00|      2.30|      0.00|      2.60|       11.50|        0.00|       13.00|
 |2624000000|Филтър книжен за прахосмукачка     |        8.00|      2.00|      0.00|      2.60|       16.00|        0.00|       20.80|

 |2699006228|Филтър прахосмукачка               |       19.00|      0.74|      1.10|      1.90|       14.08|       20.90|       36.10|
